00:22:72|american micro-fuel device corp.
40:19:20|movon corporation
d0:37:45|tp-link technologies co.,ltd.
60:3a:7c|tp-link technologies co.,ltd.
00:01:78|margi systems, inc.
0c:b7:71|arris group, inc.
58:c8:76|china mobile (hangzhou) information technology co., ltd.
2c:1e:4f|chengdu qianli network technology co., ltd.
00:90:52|selcom elettronica s.r.l.
00:1a:83|pegasus technologies inc.
24:16:6d|huawei technologies co.,ltd
94:0b:19|huawei technologies co.,ltd
70:c7:f2|huawei technologies co.,ltd
38:94:ed|netgear
70:04:33|california things inc.
dc:a6:32|raspberry pi trading ltd
88:f5:6e|huawei technologies co.,ltd
bc:97:e1|broadcom limited
28:d1:b7|shenzhen youhua technology co., ltd
c8:c2:fa|huawei technologies co.,ltd
88:b3:62|nokia shanghai bell co., ltd.
08:47:d0|nokia shanghai bell co., ltd.
08:9c:86|nokia shanghai bell co., ltd.
7c:89:56|samsung electronics co.,ltd
9c:93:e4|private
88:29:9c|samsung electronics co.,ltd
cc:90:93|hansong tehnologies
cc:64:a6|huawei technologies co.,ltd
30:31:7d|hosiden corporation
f0:a9:68|antailiye technology co.,ltd
48:e1:e9|chengdu meross technology co., ltd.
d8:13:99|hui zhou gaoshengda technology co.,ltd
54:e0:19|ring llc
14:84:30|mitac computing technology corporation
b8:a4:4f|axis communications ab
00:24:eb|clearpath networks, inc.
50:af:4d|zte corporation
c8:ea:f8|zte corporation
70:9f:2d|zte corporation
38:3b:26|jiangsu qinheng co., ltd.
5c:fa:fb|acubit
9c:7b:ef|hewlett packard
74:2e:db|perinet gmbh
20:17:42|lg electronics
cc:88:26|lg innotek
ec:5b:73|advanced & wise technology corp.
84:8b:cd|ieee registration authority
14:c0:3e|arris group, inc.
c0:89:ab|arris group, inc.
d4:4d:a4|murata manufacturing co., ltd.
f8:e5:cf|cgi it uk limited
68:82:f2|grandcentrix gmbh
d4:20:b0|mist systems, inc.
08:ed:ed|zhejiang dahua technology co., ltd.
60:92:f5|arris group, inc.
00:22:af|safety vision, llc
a0:91:a2|oneplus electronics (shenzhen) co., ltd.
00:80:b5|united networks inc.
1c:69:7a|elitegroup computer systems co., ltd
4c:17:44|amazon technologies inc.
b0:30:55|china mobile iot company limited
90:5c:34|sirius electronic systems srl
d4:6a:35|cisco systems, inc
d0:9c:7a|xiaomi communications co ltd
c8:2c:2b|ieee registration authority
80:20:da|sagemcom broadband sas
68:84:7e|fujitsu limited
00:30:85|cisco systems, inc
60:5f:8d|eero inc.
c4:b3:6a|cisco systems, inc
70:f7:54|ampak technology,inc.
6c:8b:d3|cisco systems, inc
68:97:4b|shenzhen costar electronics co. ltd.
34:e1:d1|ieee registration authority
00:21:b7|lexmark international, inc.
00:a0:b0|i-o data device,inc.
24:79:f3|guangdong oppo mobile telecommunications corp.,ltd
80:a2:35|edgecore networks corporation
30:ea:26|sycada bv
9c:49:7f|integrated device technology (malaysia) sdn. bhd.
c4:e3:9f|guangdong oppo mobile telecommunications corp.,ltd
f8:9a:78|huawei technologies co.,ltd
88:f8:72|huawei technologies co.,ltd
ec:56:23|huawei technologies co.,ltd
54:86:bc|cisco systems, inc
40:23:43|chongqing fugui electronics co.,ltd.
18:f1:8e|chiper technology co. ltd
00:04:22|studio technologies, inc
80:da:13|eero inc.
50:ec:50|beijing xiaomi mobile software co., ltd
60:61:df|z-meta research llc
70:57:bf|new h3c technologies co., ltd
10:82:86|luxshare precision industry co.,ltd
14:b4:57|silicon laboratories
dc:96:2c|nst audio ltd
18:02:2d|huawei technologies co.,ltd
d8:bc:59|shenzhen dapu microelectronics co., ltd
08:97:98|compal information (kunshan) co., ltd. 
24:6f:28|espressif inc.
8c:79:f5|samsung electronics co.,ltd
48:f8:db|huawei technologies co.,ltd
00:12:2a|vtech telecommunications ltd.
b0:51:8e|holl technology co.ltd.
28:52:e0|layon international electronic & telecom co.,ltd
58:cb:52|google, inc.
7c:61:66|amazon technologies inc.
98:9b:cb|avm audiovisuelles marketing und computersysteme gmbh
94:f7:ad|juniper networks
60:63:f9|ciholas, inc.
ac:8f:f8|nokia
60:03:a6|inteno broadband technology ab
7c:52:59|sichuan jiuzhou electronic technology co., ltd.
44:b2:95|sichuan ai-link technology co., ltd.
94:24:e1|alcatel-lucent enterprise
f8:ca:59|netcomm wireless
88:b2:91|apple, inc.
c4:2a:d0|apple, inc.
cc:d2:81|apple, inc.
20:0d:b0|shenzhen four seas global link network technology co., ltd.
d8:1e:dd|guangdong oppo mobile telecommunications corp.,ltd
d4:3f:cb|arris group, inc.
5c:76:95|technicolor ch usa inc.
f8:4d:33|fiberhome telecommunication technologies co.,ltd
c0:8a:cd|guangzhou shiyuan electronic technology company limited
ac:f6:f7|lg electronics (mobile communications)
48:e6:c0|simcom wireless solutions co.,ltd.
38:3c:9c|fujian newland payment technology co.,ltd.
c0:2e:25|guangdong oppo mobile telecommunications corp.,ltd
10:77:17|shenzhen chuangwei-rgb electronics co.,ltd
a8:6d:5f|raisecom technology co., ltd
58:ec:ed|integrated device technology (malaysia) sdn. bhd.
00:50:79|private
10:0c:6b|netgear
c4:f0:ec|fiberhome telecommunication technologies co.,ltd
e8:0f:c8|universal electronics, inc.
e4:5d:37|juniper networks
00:ee:ab|cisco systems, inc
54:a7:03|tp-link technologies co.,ltd.
90:7a:58|zegna-daidong limited
e0:09:bf|shenzhen tong bo wei technology co.,ltd
00:13:1e|peiker acustic gmbh
84:69:91|nokia
00:1b:f7|lund ip products ab
78:36:07|cermate technologies inc.
b0:00:73|wistron neweb corporation
d8:8d:c8|atil technology co., ltd
a8:e2:c1|texas instruments
90:9a:77|texas instruments
04:ee:03|texas instruments
4c:24:98|texas instruments
7c:d9:5c|google, inc.
c8:aa:cc|private
00:21:67|hwa jin t&i corp.
00:0b:86|aruba, a hewlett packard enterprise company
dc:31:d1|vivo mobile communication co., ltd.
c8:f7:50|dell inc.
d4:92:34|nec corporation
00:07:cb|freebox sas
14:9f:b6|guangdong genius technology co., ltd.
00:11:5a|ivoclar vivadent ag
4c:ae:a3|hewlett packard enterprise
1c:2e:1b|suzhou tremenet communication technology co., ltd.
1c:24:eb|burlywood
00:10:13|kontron america, inc.
2c:2b:f9|lg innotek
d8:c7:c8|aruba, a hewlett packard enterprise company
70:3a:0e|aruba, a hewlett packard enterprise company
20:4c:03|aruba, a hewlett packard enterprise company
58:c6:f0|guangdong oppo mobile telecommunications corp.,ltd
84:a0:6e|sagemcom broadband sas
a4:3e:a0|icomm hk limited
64:c2:de|lg electronics (mobile communications)
8c:44:4f|humax co., ltd.
00:67:62|fiberhome telecommunication technologies co.,ltd
2c:c4:07|machineq
b4:ed:19|pie digital, inc.
40:df:02|line biz plus
cc:e1:94|juniper networks
14:4e:2a|ciena corporation
84:13:9f|zte corporation
f0:51:ea|fitbit, inc.
50:33:f0|yichen (shenzhen) technology co.ltd
fc:2b:b2|actiontec electronics, inc
e0:9f:2a|iton technology corp. 
4c:e1:9e|tecno mobile limited
ac:5a:ee|china mobile group device co.,ltd.
70:bc:10|microsoft corporation
88:4a:18|opulinks
9c:69:b4|ieee registration authority
50:00:84|siemens canada
44:b4:33|tide.co.,ltd
d8:a6:fd|ghost locomotion
dc:21:b9|sentec co.ltd
6c:df:fb|ieee registration authority
24:7d:4d|texas instruments
88:50:f6|shenzhen jingxun software telecommunication technology co.,ltd
e4:98:bb|phyplus microelectronics limited
60:a1:1e|wuhan maxsine electric co.,ltd.
c4:5b:f7|ants
8c:df:9d|nec corporation
5c:41:5a|amazon.com, llc
70:5e:55|realme chongqing mobiletelecommunications corp ltd
b0:d5:68|shenzhen cultraview digital technology co., ltd
f0:0e:bf|zettahash inc.
70:35:09|cisco systems, inc
44:1a:fa|new h3c technologies co., ltd
04:07:2e|vtech electronics ltd.
78:0e:d1|trumpf werkzeugmaschinen gmbh+co.kg
44:ec:ce|juniper networks
f8:2f:08|molex cms
44:1c:12|technicolor ch usa inc.
44:28:a3|jiangsu fulian  communication technology co., ltd.
10:c5:95|lenovo
20:32:33|shenzhen bilian electronic co.，ltd
68:29:dc|ficosa electronics s.l.u.
94:54:df|yst corp.
7c:bc:84|ieee registration authority
f8:0d:f1|sontex sa
a4:94:26|elgama-elektronika ltd.
e4:f1:4c|private
a8:b4:56|cisco systems, inc
2c:a9:f0|guangdong oppo mobile telecommunications corp.,ltd
54:9b:72|ericsson ab
a0:47:d7|best it world (india) pvt ltd
68:99:cd|cisco systems, inc
10:40:f3|apple, inc.
58:6b:14|apple, inc.
bc:b8:63|apple, inc.
2c:1c:f6|alien green llc
6c:2b:59|dell inc.
44:e6:6e|apple, inc.
c0:e8:62|apple, inc.
f4:06:16|apple, inc.
0c:fe:5d|ieee registration authority
3c:8d:20|google, inc.
60:1d:91|motorola mobility llc, a lenovo company
d4:c9:4b|motorola mobility llc, a lenovo company
08:35:1b|shenzhen jialihua electronic technology co., ltd
ac:15:85|silergy corp
ac:50:93|magna electronics europe gmbh & co. ohg
70:bb:e9|xiaomi communications co ltd
50:a0:a4|nokia
00:d0:2d|resideo
80:69:40|lexar co.,limited
64:f8:1c|huawei technologies co., ltd.
10:98:c3|murata manufacturing co., ltd.
9c:c8:fc|arris group, inc.
b0:7e:11|texas instruments
10:c7:53|qingdao intelligent&precise electronics co.,ltd.
f4:95:1b|hefei radio communication technology co., ltd 
6c:38:45|fiberhome telecommunication technologies co.,ltd
2c:61:04|shenzhen fenglian technology co., ltd.
bc:93:25|ningbo joyson preh car connect co.,ltd.  
d0:b6:0a|xingluo technology company  limited
04:92:26|asustek computer inc.
e8:ad:a6|sagemcom broadband sas
0c:1c:19|longconn electronics(shenzhen) co.,ltd
90:e7:10|new h3c technologies co., ltd
30:29:52|hillstone networks inc
e0:13:b5|vivo mobile communication co., ltd.
e0:79:5e|wuxi xiaohu technology co.,ltd.
00:b1:e3|cisco systems, inc
a4:11:94|lenovo
00:cb:00|private
dc:f4:01|dell inc.
0c:41:01|ruichi auto technology (guangzhou) co., ltd.
00:b7:71|cisco systems, inc
e4:b2:fb|apple, inc.
2c:ca:0c|withus planet
84:32:6f|guangzhou ava electronics technology co.,ltd 
c8:9c:13|inspiremobile
8c:85:e6|cleondris gmbh
80:7d:14|huawei technologies co.,ltd
20:28:3e|huawei technologies co.,ltd
a4:fc:77|mega well limited
4c:56:9d|apple, inc.
38:53:9c|apple, inc.
40:26:19|apple, inc.
6c:e8:5c|apple, inc.
04:91:62|microchip technology inc.
f8:38:80|apple, inc.
2c:79:d7|sagemcom broadband sas
00:b4:f5|dongguan siyoto electronics co., ltd       
bc:3f:4e|teleepoch ltd
18:38:ae|conspin solution
04:cf:8c|xiaomi electronics,co.,ltd
0c:75:12|shenzhen kunlun tongtai technology  co.,ltd.
50:57:9c|seiko epson corporation
54:27:8d|nxp (china) management ltd.
b0:be:76|tp-link technologies co.,ltd.
44:47:cc|hangzhou hikvision digital technology co.,ltd.
4c:d9:8f|dell inc.
b0:ae:25|varikorea
4c:1b:86|arcadyan corporation
ec:c4:0d|nintendo co.,ltd
44:00:49|amazon technologies inc.
e8:6a:64|lcfc(hefei) electronics technology co., ltd
10:a2:4e|gold3link electronics co., ltd
cc:c5:e5|dell inc.
6c:c3:74|texas instruments
68:47:49|texas instruments
f8:d9:b8|open mesh, inc.
7c:69:6b|atmosic technologies
5c:d2:0b|yytek co., ltd.
70:03:7e|technicolor ch usa inc.
d0:03:df|samsung electronics co.,ltd
c4:23:a2|pt. emsonic indonesia
b4:cb:57|guangdong oppo mobile telecommunications corp.,ltd
4c:12:65|arris group, inc.
00:50:0c|e-tek labs, inc.
48:5f:99|cloud network technology (samoa) limited
88:34:fe|bosch automotive products (suzhou) co. ltd
88:f7:bf|vivo mobile communication co., ltd.
d8:7d:7f|sagemcom broadband sas
00:05:1a|3com europe ltd
08:00:4e|3com europe ltd
00:30:1e|3com europe ltd
00:50:04|3com
00:01:03|3com
58:b5:68|securitas direct espaÑa, sau
48:4a:e9|hewlett packard enterprise
84:6a:66|sumitomo kizai  co.,ltd.
18:d7:17|guangdong oppo mobile telecommunications corp.,ltd
80:b6:24|ivs
dc:f5:05|azurewave technology inc.
cc:f0:fd|china mobile (hangzhou) information technology co., ltd.
84:89:ec|ieee registration authority
88:10:8f|huawei technologies co.,ltd
f4:63:1f|huawei technologies co.,ltd
a4:9b:4f|huawei technologies co.,ltd
00:07:3a|inventel
00:26:6c|inventec corporation
00:8c:fa|inventec corporation
5c:fb:7c|shenzhen jingxun software telecommunication technology co.,ltd
fc:03:9f|samsung electronics co.,ltd
02:c0:8c|3com
00:57:c1|lg electronics (mobile communications)
7c:24:0c|telechips, inc.
00:20:3d|honeywell environmental & combustion controls
a4:d9:90|samsung electronics co.,ltd
00:60:87|kansai electric co., ltd.
dc:f7:19|cisco systems, inc
a0:95:0c|china mobile iot company limited
d4:74:1b|beijing huada zhibao electronic system co.,ltd.
00:1b:c0|juniper networks
2c:15:e1|phicomm (shanghai) co., ltd.
30:d1:6b|liteon technology corporation
98:ae:71|vvdn technologies pvt ltd
a4:56:cc|technicolor ch usa inc.
ac:6e:1a|shenzhen gongjin electronics co.,lt
00:80:eb|compcontrol b.v.
00:02:eb|pico communications
34:2e:b6|huawei technologies co.,ltd
ac:92:32|huawei technologies co.,ltd
00:0f:b0|compal electronics inc.
00:02:3f|compal electronics inc.
68:a8:e1|wacom co.,ltd.
30:d3:2d|devolo ag
bc:f2:af|devolo ag
e0:af:4f|deutsche telekom ag
b8:69:f4|routerboard.com
28:3a:4d|cloud network technology (samoa) limited
b8:7c:6f|nxp (china) management ltd.
30:5d:a6|advaly system inc.
bc:30:d9|arcadyan corporation
04:79:b7|texas instruments
c0:d0:ff|china mobile iot company limited
88:df:9e|new h3c technologies co., ltd
2c:7c:e4|wuhan tianyu information industry co., ltd.
58:03:fb|hangzhou hikvision digital technology co.,ltd.
14:48:02|the yeolrim co.,ltd.
40:31:3c|xiaomi electronics,co.,ltd
fc:45:96|compal information (kunshan) co., ltd. 
a0:e5:34|stratec biomedical ag
44:4b:5d|ge healthcare
00:15:55|dfm gmbh
1c:75:08|compal information (kunshan) co., ltd. 
00:1b:38|compal information (kunshan) co., ltd. 
00:23:5a|compal information (kunshan) co., ltd. 
24:d7:6b|syntronic ab
c4:fe:e2|amiccom electronics corporation
78:0c:f0|cisco systems, inc
0c:8c:24|shenzhen bilian electronic co.，ltd
8c:6d:77|huawei technologies co.,ltd
e8:c5:7a|ufispace co., ltd.
e0:12:83|shenzhen fanzhuo communication technology co., lt
a0:cf:5b|cisco systems, inc
00:24:21|micro-star int'l co., ltd.
00:60:d1|cascade communications
84:c9:c6|shenzhen gongjin electronics co.,lt
88:b6:6b|easynetworks
24:f5:7e|hwh co., ltd.
8c:a0:48|beijing netopchip technology co.,ltd
24:d3:f2|zte corporation
d4:69:a5|miura systems ltd.
8c:81:26|arcom
d4:7c:44|ieee registration authority
80:5e:4f|fn-link technology limited
84:17:ef|technicolor ch usa inc.
38:56:b5|peerbridge health inc
7c:96:d2|fihonest communication co.,ltd
c0:42:d0|juniper networks
d0:c5:d8|latecoere
20:a6:0c|xiaomi communications co ltd
48:8a:d2|mercury communication technologies co.,ltd.
dc:e8:38|ck telecom (shenzhen) limited
a8:d4:98|avira operations gmbh & co. kg
50:59:67|intent solutions inc
00:06:80|card access, inc.
3c:57:6c|samsung electronics co.,ltd
84:17:66|weifang goertek electronics co.,ltd
2c:4d:79|weifang goertek electronics co.,ltd
00:0c:42|routerboard.com
00:26:bd|jtec card &amp; communication co., ltd
60:d0:2c|ruckus wireless
14:57:9f|huawei technologies co.,ltd
b4:43:26|huawei technologies co.,ltd
78:d2:94|netgear
70:9f:a9|tecno mobile limited
0c:01:db|infinix mobility limited
08:c5:e1|samsung electro-mechanics(thailand)
18:66:c7|shenzhen libre technology co., ltd
5c:b3:f6|human, incorporated
2c:48:35|ieee registration authority
48:2a:e3|wistron infocomm(kunshan)co.,ltd.
fc:a6:cd|fiberhome telecommunication technologies co.,ltd
44:c8:74|china mobile group device co.,ltd.
74:c1:4f|huawei technologies co.,ltd
b0:eb:57|huawei technologies co.,ltd
18:69:da|china mobile group device co.,ltd.
f8:5c:4d|nokia
2c:58:4f|arris group, inc.
f0:4b:3a|juniper networks
54:bf:64|dell inc.
a8:5b:6c|robert bosch gmbh, cm-ci2
c8:b1:ee|qorvo
00:fc:ba|cisco systems, inc
00:cb:b4|shenzhen ateko photoelectricity co.,ltd
4c:c0:0a|vivo mobile communication co., ltd.
9c:e8:2b|vivo mobile communication co., ltd.
70:79:b3|cisco systems, inc
d8:18:d3|juniper networks
14:9b:2f|jiangsu zhongxie intelligent technology co., ltd
38:35:fb|sagemcom broadband sas
48:dd:9d|itel mobile limited
a0:75:ea|boxlock, inc.
f0:4c:d5|maxlinear, inc
00:01:ae|trex enterprises
00:e0:09|stratus technologies
e4:ea:83|shenzhen gongjin electronics co.,lt
74:ec:42|fiberhome telecommunication technologies co.,ltd
d4:fc:13|fiberhome telecommunication technologies co.,ltd
80:7d:3a|espressif inc.
ec:af:97|git
a0:b0:45|halong mining
e0:ba:b4|arrcus, inc
58:9b:0b|shineway technologies, inc.
d8:16:0a|nippon electro-sensory devices
10:c0:7c|blu-ray disc association
40:a6:77|juniper networks
e4:b0:21|samsung electronics co.,ltd
9c:7f:57|unic memory technology co ltd
b4:e0:1d|conception electronique
1c:00:42|nari technology co., ltd.
44:34:a7|arris group, inc.
3c:e1:a1|universal global scientific industrial co., ltd.
f8:98:ef|huawei technologies co.,ltd
58:f9:87|huawei technologies co.,ltd
a8:f5:ac|huawei technologies co.,ltd
58:ba:d4|huawei technologies co.,ltd
70:1d:08|99iot shenzhen co.,ltd
74:12:bb|fiberhome telecommunication technologies co.,ltd
00:10:27|l-3 communications east
bc:26:43|elprotronic inc.
04:e2:29|qingdao haier technology co.,ltd
34:8b:75|lava international(h.k) limited
9c:e8:95|new h3c technologies co., ltd
00:58:3f|pc aquarius
90:3d:68|g-printec, inc.
10:94:bb|apple, inc.
78:1d:4a|zte corporation
94:e1:ac|hangzhou hikvision digital technology co.,ltd.
34:e8:94|tp-link technologies co.,ltd.
f8:6f:c1|apple, inc.
28:ff:3c|apple, inc.
f0:99:b6|apple, inc.
88:e9:fe|apple, inc.
38:89:2c|apple, inc.
74:9e:af|apple, inc.
94:bf:2d|apple, inc.
68:ca:e4|cisco systems, inc
00:be:3b|huawei technologies co.,ltd
7c:a1:77|huawei technologies co.,ltd
24:2e:02|huawei technologies co.,ltd
78:b6:ec|scuf gaming international llc
80:35:c1|xiaomi communications co ltd
58:b3:fc|shenzhen rf-link technology co.,ltd.
20:47:da|xiaomi communications co ltd
24:29:fe|kyocera corporation 
7c:49:eb|xiaomi electronics,co.,ltd
c4:33:06|china mobile group device co.,ltd.
08:df:cb|systrome networks
a4:93:3f|huawei technologies co.,ltd
28:ac:9e|cisco systems, inc
68:d4:82|shenzhen gongjin electronics co.,lt
98:45:62|shanghai baud data communication co.,ltd.
e4:c4:83|guangdong oppo mobile telecommunications corp.,ltd
00:1f:ba|boyoung tech
a4:33:d7|mitrastar technology corp.
b0:ac:d2|zte corporation
20:0f:70|foxtech
20:2d:23|collinear networks inc.
90:83:4b|beijing yunyi times technology co,.ltd
18:50:2a|soarnex
a8:36:7a|frogblue technology gmbh
6c:e4:da|nec platforms, ltd.
10:e7:c6|hewlett packard
18:31:bf|asustek computer inc.
c8:fa:e1|arq digital llc
dc:a3:33|shenzhen youhua technology co., ltd
78:8c:54|ping communication
b8:af:67|hewlett packard
c0:98:da|china mobile iot company limited
f0:0f:ec|huawei technologies co.,ltd
ac:07:5f|huawei technologies co.,ltd
c0:48:e6|samsung electronics co.,ltd
88:2e:5a|storone
00:71:47|amazon technologies inc.
00:be:75|cisco systems, inc
64:db:8b|hangzhou hikvision digital technology co.,ltd.
78:25:7a|leo innovation lab
10:a4:b9|baidu online network technology (beijing) co., ltd
50:1c:b0|cisco systems, inc
04:ac:44|holtek semiconductor inc.
f4:dc:a5|dawon dns
80:ce:62|hewlett packard
80:1f:12|microchip technology inc.
50:6c:be|innosilicontechnology ltd
24:7e:12|cisco systems, inc
04:c2:41|nokia
3c:47:9b|theissen training systems, inc.
60:6b:ff|nintendo co.,ltd
8c:f7:10|ampak technology, inc.
30:7b:ac|new h3c technologies co., ltd
78:5d:c8|lg electronics
3c:04:61|arris group, inc.
88:3d:24|google, inc.
e8:c1:b8|nanjing bangzhong electronic commerce limited
d8:d7:75|sagemcom broadband sas
e8:33:0d|xaptec gmbh
d4:60:e3|sercomm corporation.
b4:a8:b9|cisco systems, inc
50:dc:e7|amazon technologies inc.
64:98:29|integrated device technology (malaysia) sdn. bhd.
08:1d:c4|thermo fisher scientific messtechnik gmbh
78:53:64|shift gmbh
38:e6:0a|xiaomi communications co ltd
40:cb:c0|apple, inc.
c4:61:8b|apple, inc.
cc:6e:a4|samsung electronics co.,ltd
80:3a:59|at&t
58:8d:64|xi'an clevbee technology co.,ltd
00:5d:73|cisco systems, inc
60:6d:3c|luxshare precision industry company limited
44:f0:34|kaonmedia co., ltd.
00:27:90|cisco systems, inc
34:ba:38|pal mohan electronics pvt ltd
98:29:a6|compal information (kunshan) co., ltd. 
cc:4d:38|carnegie technologies
08:e6:89|apple, inc.
dc:56:e7|apple, inc.
a8:16:d0|samsung electronics co.,ltd
a4:6c:f1|samsung electronics co.,ltd
08:ae:d6|samsung electronics co.,ltd
dc:bf:e9|motorola mobility llc, a lenovo company
b4:2d:56|extreme networks, inc.
40:64:a4|the furukawa electric co., ltd
6c:b2:ae|cisco systems, inc
b0:98:2b|sagemcom broadband sas
34:fa:9f|ruckus wireless
f0:65:c2|yanfeng visteon electronics technology (shanghai) co.,ltd.
70:b7:e2|jiangsu miter technology co.,ltd.
80:8d:b7|hewlett packard enterprise
a0:9d:86|alcatel-lucent shanghai bell co., ltd
00:c0:ff|seagate cloud systems inc
d4:5d:df|pegatron corporation
f8:b5:68|ieee registration authority
2c:6b:7d|texas instruments
88:d1:71|beghelli s.p.a
a0:9d:c1|china dragon technology limited
2c:42:05|lytx
a8:25:eb|cambridge industries(group) co.,ltd.
34:e3:80|genexis b.v.
5c:58:19|jingsheng technology co., ltd.
b8:ca:04|holtek semiconductor inc.
c4:c5:63|tecno mobile limited
80:b7:08|blue danube systems, inc
08:bc:20|hangzhou royal cloud technology co., ltd
94:2a:3f|diversey inc
20:31:eb|hdsn
f8:c9:6c|fiberhome telecommunication technologies co.,ltd
84:48:23|woxter technology co. ltd
f4:1e:5e|rtbrick inc.
6c:76:60|kyocera corporation 
00:21:02|updatelogic inc.
50:58:00|wytec international, inc.
c8:d1:2a|comtrend corporation
0c:ea:c9|arris group, inc.
e8:2a:44|liteon technology corporation
10:a4:be|shenzhen bilian electronic co.，ltd
ec:c0:6a|powerchord group limited
94:49:96|wisilica inc
f8:1d:0f|hitron technologies. inc
00:94:a1|f5 networks, inc.
bc:f2:92|plantronics, inc.
04:50:da|qiku internet network scientific (shenzhen) co., ltd
e8:20:e2|humax co., ltd.
00:26:a8|daehap hyper-tech
78:5c:28|prime motion inc.
8c:5b:f0|arris group, inc.
18:90:d8|sagemcom broadband sas
88:83:5d|fn-link technology limited
ec:9f:0d|ieee registration authority
e0:78:a3|shanghai winner information technology co.,inc
00:05:a7|hyperchip inc.
08:84:66|novartis pharma ag
30:9f:fb|ardomus networks corporation
28:23:73|digita
64:9a:08|shenzhen superelectron technology co.,ltd
68:a6:82|shenzhen youhua technology co., ltd
58:7a:62|texas instruments
54:7a:52|cte international srl
f0:6e:0b|microsoft corporation
34:6f:ed|enovation controls
54:33:cb|apple, inc.
34:08:bc|apple, inc.
1c:36:bb|apple, inc.
3c:2e:ff|apple, inc.
00:e0:25|dit co., ltd.
ac:84:c6|tp-link technologies co.,ltd.
00:15:30|dell emc
0c:b2:b7|texas instruments
24:f6:77|apple, inc.
b0:ca:68|apple, inc.
c8:3c:85|apple, inc.
78:87:0d|unifiedgateways india private limited
a8:82:00|hisense electric co.,ltd
38:20:a8|colortokens, inc.
70:58:96|inshow technology
00:05:89|national datacomputer
3c:a6:16|vivo mobile communication co., ltd.
9c:e0:63|samsung electronics co.,ltd
d0:31:69|samsung electronics co.,ltd
24:f2:7f|hewlett packard enterprise
bc:05:43|avm gmbh
00:b6:9f|latch
84:2c:80|sichuan changhong electric ltd.
3c:c0:79|shenzhen one-nine intelligent electronic science and technology co., ltd
98:c5:db|ericsson ab
14:9f:3c|samsung electronics co.,ltd
fc:ee:e6|formike electronic co., ltd
84:e3:27|tailyn technologies inc
00:21:b8|inphi corporation
0c:91:60|hui zhou gaoshengda technology co.,ltd
d8:ed:1c|magna technology sl
40:8b:f6|shenzhen tcl new technology co., ltd
00:00:6b|silicon graphics
74:37:3b|uninet co.,ltd.
7c:64:56|samsung electronics co.,ltd
f4:6e:24|nec personal computers, ltd.
88:82:79|shenzhen rb-link intelligent technology co.ltd
